Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
20.0,6,64.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-RSTFINFlood
22.8,6,72.2,18517.898454746137,0.0,0.7,0.3,0.0,0.3,0.0,0.0,3,7,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,5.400180816650391e-05,10,0.0,Recon-HostDiscovery
20.0,6,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-SYN_Flood
4.0,17,64.0,10029.421329507411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,9380,362,1514,938.0,607.1573107523288,938.0,9.970664978027343e-05,10,368640.0,DDoS-UDP_Fragmentation
20.0,6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-TCP_Flood
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,Recon-PingSweep
24.0,6,48.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,VulnerabilityScan
20.0,6,64.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-PSHACK_Flood
20.0,6,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-SYN_Flood
20.0,6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-TCP_Flood
12.0,17,56.1,9804.357176250584,0.1,0.1,0.0,0.0,0.2,0.0,0.0,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.2,0.0,0.0,0.8,0.8,620,60,74,62.0,4.618802153517006,62.0,0.0001019954681396,10,21.33333333333333,VulnerabilityScan
34.4,6,82.6,10010.272076372315,0.0,0.6,0.0,0.2,0.3,0.0,0.0,3,6,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1052,66,230,105.2,55.890368878129024,105.2,9.989738464355467e-05,10,3123.733333333333,Recon-OSScan
20.0,6,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-SYN_Flood
4.0,17,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,9380,362,1514,938.0,607.1573107523288,938.0,0.0,10,368640.0,DDoS-UDP_Fragmentation
0.0,47,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5920,592,592,592.0,0.0,592.0,0.0,10,0.0,Mirai-greeth_flood
20.0,6,64.0,9899.230587679962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0001010179519653,10,0.0,DDoS-SynonymousIP_Flood
23.2,6,64.0,9972.192106514503,0.0,1.0,0.0,0.0,0.8,0.0,0.0,8,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0001002788543701,10,0.0,DoS-SYN_Flood
20.0,6,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DoS-SYN_Flood
32.0,6,208.6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24171,92,2922,2417.1,1074.1208756725453,2417.1,0.0,10,1153735.6555555556,MITM-ArpSpoofing
24.0,6,49.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,Recon-HostDiscovery
8.0,17,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-UDP_Flood
20.0,6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DoS-TCP_Flood
8.0,17,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5540,554,554,554.0,0.0,554.0,0.0,10,0.0,Mirai-udpplain
32.8,6,78.0,0.0,0.0,0.1,0.0,0.4,1.0,0.0,0.0,10,1,0,0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,988,66,317,98.8,78.00113959281477,98.8,0.0,10,6084.177777777776,Recon-PortScan
32.0,6,64.0,10000.72484501669,0.1,0.0,0.0,0.0,1.0,0.0,0.0,10,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660,66,66,66.0,0.0,66.0,9.999275207519532e-05,10,0.0,Recon-PortScan
35.6,6,64.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17125,925,2962,1712.5,563.5968318655534,1712.5,0.0,10,317641.3888888889,DoS-HTTP_Flood
20.0,6,64.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-RSTFINFlood
20.0,6,64.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-PSHACK_Flood
20.0,6,64.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-RSTFINFlood
22.0,6,71.1,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,1,8,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,638,60,98,63.8,12.016655108639842,63.8,0.0,10,144.4,Recon-HostDiscovery
20.0,6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DoS-TCP_Flood
20.0,6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-TCP_Flood
0.0,47,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5920,592,592,592.0,0.0,592.0,0.0,10,0.0,Mirai-greeth_flood
4.0,17,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,9380,362,1514,938.0,607.1573107523288,938.0,0.0,10,368640.0,DDoS-UDP_Fragmentation
35.6,6,64.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4964,66,1514,496.4,685.0614246588079,496.4,0.0,10,469309.1555555556,DoS-HTTP_Flood
20.0,6,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-SynonymousIP_Flood
21.2,6,102.2,0.0,0.0,0.3,0.2,0.1,0.3,0.0,0.0,3,3,0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,849,50,230,84.9,55.213625532511855,84.9,0.0,10,3048.5444444444447,DNS_Spoofing
26.4,6,127.7,0.0,0.2,0.0,0.0,0.2,0.9,0.0,0.0,9,0,2,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1182,60,573,118.2,160.06998469419557,118.2,0.0,10,25622.4,Benign_Final
4.0,17,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,9380,362,1514,938.0,607.1573107523288,938.0,0.0,10,368640.0,DDoS-UDP_Fragmentation
8.0,17,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5540,554,554,554.0,0.0,554.0,0.0,10,0.0,Mirai-udpplain
20.0,6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DoS-TCP_Flood
20.0,6,64.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,Recon-OSScan
20.0,6,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-SYN_Flood
20.0,6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DoS-TCP_Flood
8.0,17,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-UDP_Flood
20.0,6,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-SynonymousIP_Flood
20.0,6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-TCP_Flood
27.2,6,90.7,0.0,0.0,0.1,0.0,0.3,0.8,0.0,0.0,8,1,0,0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,922,60,214,92.2,51.0790237442599,92.2,0.0,10,2609.0666666666666,Recon-PingSweep
21.6,6,113.8,0.0,0.0,0.4,0.6,0.0,0.6,0.0,0.0,6,4,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,Recon-HostDiscovery
15.6,17,60.4,0.0,0.0,0.0,0.0,0.3,0.4,0.0,0.0,4,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.1,0.0,0.0,0.9,0.9,1379,60,426,137.9,113.88341992289016,137.9,0.0,10,12969.433333333338,Recon-PingSweep
20.0,6,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DoS-SYN_Flood
10.0,6,64.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9440,374,1514,944.0,600.832755431992,944.0,0.0,10,361000.0,DDoS-ACK_Fragmentation
0.0,47,64.0,10000.72484501669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5920,592,592,592.0,0.0,592.0,9.999275207519532e-05,10,0.0,Mirai-greeth_flood
8.0,17,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-UDP_Flood
20.0,6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DoS-TCP_Flood
0.0,47,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5780,578,578,578.0,0.0,578.0,0.0,10,0.0,Mirai-greip_flood
20.8,6,105.4,0.0,0.0,0.1,0.0,0.2,0.4,0.0,0.0,4,1,0,0,0.1,0.4,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1164,62,214,116.4,62.45211498953952,116.4,0.0,10,3900.266666666666,Recon-OSScan
0.0,1,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9380,362,1514,938.0,607.1573107523288,938.0,0.0,10,368640.0,DDoS-ICMP_Fragmentation
0.0,1,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-ICMP_Flood
20.0,6,64.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-RSTFINFlood
20.0,6,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-SynonymousIP_Flood
20.0,6,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-SYN_Flood
0.0,1,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-ICMP_Flood
20.0,6,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-SYN_Flood
10.4,17,58.7,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,711,60,90,71.1,14.00357097314824,71.1,0.0,10,196.1,VulnerabilityScan
20.0,6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-TCP_Flood
20.0,6,64.0,10019.837553750598,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,9.980201721191408e-05,10,0.0,DDoS-SynonymousIP_Flood
21.6,6,85.8,12164.45475638051,0.1,0.1,0.0,0.1,0.6,0.0,0.0,6,1,1,0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0.8,0.8,1364,60,414,136.4,123.37404733393306,136.4,8.220672607421875e-05,10,15221.155555555555,VulnerabilityScan
34.4,6,64.0,0.0,0.0,0.3,0.0,0.4,0.7,0.0,0.0,7,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7401,74,1514,740.1,630.476266184717,740.1,0.0,10,397500.32222222217,DDoS-HTTP_Flood
20.0,6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DoS-TCP_Flood
0.0,1,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.9,0.9,9078,60,1514,907.8,645.3033395233595,907.8,0.0,10,416416.4000000001,DDoS-ICMP_Fragmentation
27.2,6,89.7,0.0,0.0,0.1,0.0,0.4,0.9,0.0,0.0,9,1,0,0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,2338,60,869,233.8,290.8878363447556,233.8,0.0,10,84615.73333333332,Recon-OSScan
32.0,6,114.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10796,66,1514,1079.6,699.4504509494102,1079.6,0.0,10,489230.93333333335,Benign_Final
21.2,6,111.8,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,5,0,0,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1053,60,214,105.3,55.56987593211912,105.3,0.0,10,3088.0111111111114,Recon-PortScan
12.8,17,89.5,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,1,1,0,0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.1,0.0,0.0,0.9,0.9,1331,60,314,133.1,73.74799432300966,133.1,0.0,10,5438.766666666666,DNS_Spoofing
6.4,17,51.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.8,0.8,4552,60,554,455.2,208.28868854975724,455.2,0.0,10,43384.177777777775,Mirai-udpplain
20.0,6,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DoS-SYN_Flood
